Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,KO,PEP,DIS
2018-07-06,44.521,94.5714,85.5315,57.5454,203.23,6.12437,20.5933,91.4438,111.697,127.997,70.3754,225.035,174.798,195.026,25.3254,64.5978,101.584,38.7545,96.2859,102.71
2018-07-09,45.1429,95.2181,86.951,58.1532,204.74,6.17137,21.234,94.2633,111.971,129.355,69.087,227.658,176.22,196.391,26.2484,65.0471,103.087,38.5471,94.7055,103.93
2018-07-10,45.0865,95.4788,87.1535,58.1463,203.54,6.27043,21.498,93.7063,113.158,130.44,70.8263,229.338,177.604,196.98,26.0502,65.6423,104.393,39.0403,99.1915,103.94
2018-07-11,44.4983,95.3411,87.75,58.3615,202.54,6.12936,21.264,93.4901,112.148,131.838,70.2393,228.482,176.995,199.243,25.9117,64.8039,101.048,38.8857,98.9072,105.92
2018-07-12,45.2532,97.4099,89.831,59.846,206.92,6.22052,21.114,93.9028,113.482,133.527,70.0005,229.806,177.898,203.1,25.9951,64.8798,101.663,38.7811,97.9955,106.12
2018-07-13,45.3202,98.5823,90.6515,60.0035,207.32,6.17317,21.258,93.4617,111.854,133.057,70.3754,232.187,178.566,201.246,25.7958,65.3681,101.497,38.8406,99.0247,107.83
2018-07-16,45.2237,98.094,91.1245,59.6094,207.23,6.14553,20.6733,97.1802,110.765,132.13,70.5688,230.64,178.743,199.472,26.9055,64.7243,100.639,38.8329,99.2507,108.03
2018-07-17,45.3499,99.0312,92.1965,60.4349,209.99,6.28122,21.5127,97.1016,114.687,133.275,71.0137,224.648,180.715,201.695,27.1147,64.5832,99.7514,39.285,100.936,108.13
2018-07-18,45.0984,98.2982,92.146,60.4264,209.36,6.2323,21.59,97.9986,113.52,134.495,70.7375,229.244,180.606,203.658,27.2246,64.5132,99.4289,39.1715,100.908,108.51
2018-07-19,45.4502,97.6151,90.6485,59.7384,208.09,6.24049,21.3487,96.5613,111.864,133.753,70.4968,227.003,182.098,201.386,26.8083,64.3469,99.546,39.1636,101.72,109.93
2018-07-20,45.3469,99.3243,90.685,59.6776,209.94,6.21213,20.9053,97.7923,111.784,134.573,70.4504,226.823,181.932,202.034,27.2246,63.8683,100.033,39.3095,101.937,109.29
